anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
deniz_ignesi | H | E | H | Ağız yapısı çok küçüktür yemi koparamaz ancak erişkin boyu çok ufak olduğu için yakalandığında geri atılır.
aterin | E | E | E | Sürüler halinde kıyıda yemi didiklerler, boyutları 20 cm'nin altında kalsa da levrek için çok değerli canlı yem olurlar.
zurna | H | H | H | Hızlı bir avcıdır, yemi yutarak doğrudan iğneye takılır ve hedef avdır.
kefal | E | H | E | Yemi emerek soyar ve iğneye takılması zordur, küçük olanları (ileryoz) canlı yem olarak değerlendirilir.
levrek | H | H | H | Yemi bütün olarak yutarak iğneye takılır, amatör balıkçının en çok sevineceği hedef avlardandır.
mirmir | H | H | H | Kumlukta yemi ağzına tam alıp iğneye takılır, kıymetli ve avı keyifli bir hedef avdır.
sarikulak | E | H | E | Ağız yapısı nedeniyle yemi emerek çalar ve iğneyi sık sık boş bırakır, ufakları avcı balıklara yem yapılır.
sarpa | E | E | H | Küçük keskin dişleriyle yemi hızla tırtıklayıp çalar ve tutulduğunda halüsinatif etkisi ya da kötü tadı nedeniyle istenmez.
yilan_baligi | H | H | H | Yemi doğrudan yutar ve iğneye kesin takılır.
eskina | H | H | H | Gece avlarında yemi bütün olarak hamle yaparak alır ve sevilen bir hedeftir.
lufer | H | H | H | Keskin dişleriyle yemi agresifçe yutar ve iğneye takılır, kıyı balıkçısının en değerli avıdır.
minekop | H | H | H | Yemi tek hamlede alarak iğneye oturur, trofe değeri olan güçlü bir dip avdır.
zargana | H | H | E | Yeme doğrudan atlayıp takılır ve lüfer avında en çok tercih edilen canlı veya ölü yemdir.
ahtapot | H | H | H | Yeme kollarıyla yapışıp kalır, boş iğne çektirmez ve tutulması son derece sevindirir.
cipura | H | H | H | Yemi çenesiyle ezip sonunda yutar, sabırla beklendiğinde kesinlikle iğneye takılan değerli bir avdır.
karagoz | H | H | H | Güçlü çenesiyle yemi tek seferde kırıp yutar ve iğneye takılması beklenen kıymetli bir hedeftir.
kikla | H | H | H | Kayalık diplerde yemi ve kabukluları bütün kırarak takılır, iri boylara ulaşabilen güçlü bir balıktır.
lambuga | H | H | H | Hızlı ve agresif bir açık su avcısı olduğundan yemi doğrudan yutarak iğneye biner.
lapin | E | E | H | Kayalık aralarında küçük ağzıyla yemi sürekli tırtıklayıp çalar ve eti yenmediği için tutulduğunda angarya sayılır.
lokum | H | E | H | Yemi alıp iğneye kolayca takılır ancak yasal boyunun 15 cm olması kuralı gereği ufak av tanımına girer.
subye | H | H | H | Zokaya veya yeme kollarıyla sarılır, kendisi başlı başına aranan kıymetli bir avdır.
iskorpit | H | E | H | Büyük ağzıyla yemi bütün yutar ancak zehirli dikenleri yüzünden oltada görülmesi büyük bir can sıkıntısı yaratır.
barakuda | H | H | H | Keskin dişleriyle yemi tek hamlede kapar ve kesin takılan iri, vahşi bir avcıdır.
cinekop | H | E | H | Yemi kapıp iğneye takılır fakat lüferin yasak boydaki yavrusu olduğu için zorunlu olarak suya iade edilmelidir.
cutre | E | H | H | Sert çenesiyle yemi ağzına tam almadan koparıp çalar ve iğneyi dahi kırıp bozabilir.
dil_baligi | H | H | H | Gece kumluk dipte yemi emerek yutar ve iğneye takılır, lezzetli etiyle makbul bir hedeftir.
ustura_baligi | H | H | H | Gündüzleri agresifçe yeme saldırıp iğneye takılır ve lezzetli eti sayesinde sevindirir.
gelincik | H | H | H | Gece kayalık aralarında yemi iştahla yutar ve iğneye derinlemesine takılır.
isparoz | E | E | E | Küçük ağzıyla yemi sürekli didikler, çok sık iğne boşaltır ve erişkin boyu ufak olduğu için angaryadır ama canlı yem yapılır.
melanur | H | H | H | Yüzeye yakın kayalıklarda yeme sert hamle yapar ve iğneye doğrudan takılır.
muren | H | E | H | Yemi agresifçe yutup takılır ancak yılanımsı yapısı ve çok tehlikeli dişleri yüzünden oltada istenmeyen bir türdür.
pisi | H | H | H | Kumlukta yemi doğrudan alıp yutar ve sevilen, avı keyifli bir yassı dip balığıdır.
sargoz | H | H | H | Köpüklü sularda sert vuruşlarla yemi alarak iğneye takılır, çok aranan ve sevilen bir balıktır.
sivriburun | H | H | H | Karagöz gibi yeme net vuruşlar yapar ve iğneye sorunsuz şekilde takılır.
tirsi | H | H | H | Çapariye veya yeme atlayıp takılır, tatminkar boyutlara ulaşabilen hedeflenebilir bir türdür.
trakonya | H | E | H | Yemi yutarak takılır fakat saklanma huyu ve son derece zehirli dikenleri yüzünden oltaya gelmesi tehlikeli bir angaryadır.
aslan_baligi | H | E | H | Yemi kolayca yutar ancak istilacı ve zehirli dikenli bir tür olduğundan sevilmeyen, dikkat gerektiren bir avdır.
balon_baligi | E | E | H | Güçlü gagasıyla yemi misinayla beraber kesip çalar, zehirli ve ölümcül bir istilacı olduğu için denizdeki en büyük baş belasıdır.
istavrit | H | E | E | Yasal boyunun 13 cm olması sebebiyle kural gereği ufak avdır, sürüler halinde tutulup lüfer gibi avcılar için ana yem yapılır.
kalamar | H | H | H | Yeme değil zokaya kollarıyla sarılarak yakalanır ve amatörün tutmaktan çok keyif aldığı bir hedeftir.
kupes | E | E | E | Sürüler halinde yemi ortasu seviyesinde parçalayarak çalarlar, boyları küçük olduğu için yine mi bu dedirtse de iri avcılara yemdir.
kurbaga | H | E | H | Kuma gömülüp yemi aniden yutarak takılır fakat zehirli dikenleri sebebiyle oltada görülmesi can sıkar.
trakun | H | H | H | Yemi agresifçe alıp iğneye oturur, sürüler halinde gezen ve avı zevkli makbul bir balıktır.
uskumru | H | H | H | Çapariye veya yeme hızla atlar, lezzeti ve tatminkar boyu ile aranan bir hedeftir.
vatoz | H | E | H | Yemi üzerine çökerek kolayca yutar ancak yenmemesi ve zehirli dikeni sebebiyle genelde sadece misina kesilip atılır.
granyoz | H | H | H | Dev boyutlara ulaşabilen ve yemi tamamen yutan çok kıymetli bir gece trofesi avıdır.
hamsi | H | E | E | Yasal boyu 9 cm olduğu için kural gereği ufak avdır, ağzıyla iğneyi soyamaz ancak çapariyle alınıp canlı/ölü yem yapılabilir.
hani | H | E | E | Büyük ağzıyla yemi anında yutup derinlemesine takılır, dip avında sürekli gelmesi bıktırsa da canlı yem olarak iş yapar.
iskatarya | H | H | H | Yemi doğrudan yutarak takılan ve dip oltacıları tarafından hedeflenen kıymetli bir kayalık balığıdır.
izmarit | E | E | E | Küçük ağzıyla yemi ustaca didikler, yasal limitinin 11 cm olmasıyla ufak avdır fakat avcı balıklar için şahane ve dayanıklı bir yemdir.
kolyoz | H | H | E | Sürü halinde yeme veya çapariye sorunsuz takılır ve iri avcılar için bütün ya da parça yem olarak kullanılır.
migri | H | E | H | Yemi hırsla derin yutar ancak yılanımsı salgılı yapısı ve zor zapt edilmesi yüzünden oltaya geldiğinde can sıkar.
papalina | H | E | E | Erişkin boyu çok ufak olduğu için ufak avdır, ağız yapısıyla iğneyi soyamaz, çapariyle tutulup istavrit ve lüfere yem yapılır.
sardalya | H | E | E | Yasal boyunun 11 cm olması nedeniyle kural gereği ufak av sayılır, didiklemez, bütün olarak takılıp çok başarılı bir yem olur.
tekir | H | E | H | Yasal boyu 11 cm olduğundan ufak av tanımına girer, kumlukta yemi doğrudan ağzına alarak iğneye oturan lezzetli bir türdür.
barbun | H | E | H | Yasal boy limiti 13 cm olduğu için kural gereği ufak avdır, yemi emerek alır ve küçük iğnelere rahatça takılır.
caca | H | E | E | Çok küçük ağzıyla yemi soyamaz ve erişkin boyu ufaktır, çapariye gelir ve büyük avcılar için kışlık besin ve yem kaynağıdır.
palamut | H | H | H | Sahteye veya yeme agresifçe saldırıp kesin takılan, sonbaharın en keyifli ve değerli hedeflerindendir.
sinarit | H | H | H | Yemi tamamen yutan çok güçlü ve temkinli bir dip avcısıdır, amatör balıkçılığın en üst düzey trofelerindendir.
kirlangic | H | H | H | Yemi bütün olarak yutarak takılır, kumlu diplerde çok aranan ve renkleriyle de değer gören bir balıktır.
akya | H | H | H | Canlı yeme veya sahteye çok sert vuran, kıyıdan yakalanması büyük maharet isteyen güçlü bir trofedir.
lahoz | H | H | H | Dev ağzıyla yemi vakumlayarak içine çeker, çok değerli olmakla beraber sıkı av yasaklarına harfiyen uyulması gerekir.
yazili_orkinos | H | H | H | Hızlı yüzerek yeme veya sahteye sert atlar, iğneye kesin takılan çok mücadeleci bir avdır.
mercan | H | H | H | Yemi dipte tek hamlede kırıp yutar ve amatör dip oltacılarının en sevdiği hedef avlardandır.
mirlan | H | H | H | Yemi açgözlülükle derin yutar ve soğuk sularda bolca av veren çok lezzetli bir kış balığıdır.
