anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
deniz_ignesi | H | ? | ? | İnce ve uzun ağız yapısı nedeniyle klasik olta yemini soyan bir tür olduğuna dair yeterli dayanak yoktur.
aterin | E | ? | E | Kıyıya çok yakın sürüler yapan küçük türdür; yemi didikleyebilir ve levrek-lüfer için fiilen canlı yem olarak kullanılır.
zurna | H | ? | E | Hızlı avcıdır ve yemi agresif biçimde alıp iğneye takılabilir; notta lüfer/kofana yemi olarak kullanıldığı belirtilmiştir.
kefal | H | ? | ? | Ekmek ve benzeri yemleri alabilse de iğneye takılan hedef avdır ve yem balığı olarak fiili kullanım açıkça belirtilmemiştir.
levrek | H | H | H | Yemi alıp iğneye takılan hedef avdır ve küçük bireyleri de doğrudan hedef türün yavrularıdır.
mirmir | H | ? | H | Dipte yem arayan güçlü ağızlı bir hedef balıktır ve yem balığı olarak fiili kullanımına dair dayanak yoktur.
sarikulak | H | ? | ? | Lagün ve sığ kıyılarda yemle avlanan bir kefal türüdür ancak iğneye takılmayan yem hırsızı olduğuna dair dayanak yoktur.
sarpa | H | ? | H | Otobur olup ekmekle kolayca yakalanır; yemi tüketip iğneden kaçan tipik bir tür olduğuna dair dayanak yoktur.
yilan_baligi | H | ? | H | Gece avlanan etçil bir balıktır ve yem alabilir ancak küçük bireylerinin kıyıdan yem olarak fiilen kullanıldığı belirtilmemiştir.
eskina | H | ? | H | Gece aktif hedef bir dip balığıdır ve verilen bilgiler yemi alıp iğneye takıldığını destekler.
lufer | H | H | H | Keskin dişli aktif avcıdır ve hedef tür olduğundan iğnedeki yemi soyan küçük balık sınıfına girmez.
minekop | H | ? | H | Büyük dip avcısıdır ve verilen bilgiler yemi almasını destekler ancak yem balığı olarak fiili kullanım belirtilmemiştir.
zargana | H | ? | ? | Yüzeyde avlanan yırtıcıdır ve yemleri alıp iğneye takılabilir; küçük yem balığı olarak kullanıldığına dair kaynak verisi yoktur.
ahtapot | H | ? | H | Yeme sarılıp yapıştığı ve ağırlık hissedince sert tasma gerektiği belirtilmiştir; bu nedenle soyucu değildir.
cipura | H | ? | H | Yemi ezse de örnekte açıkça iğneye takılan av olarak tanımlanmıştır.
karagoz | H | ? | H | Kayalık ve köpüklü sularda yem alan hedef bir dip balığıdır ve soyucu olduğuna dair dayanak yoktur.
kikla | H | ? | H | Güçlü çeneleriyle kabukluları kırabilen hedef dip balığıdır ve yemi alıp iğneye takılması beklenir.
lambuga | H | ? | H | Büyük pelajik avcıdır ve yemleri agresif biçimde tüketen hedef balıktır.
lapin | H | ? | H | Kayalık bölgede küçük avlarla beslenen bir balıktır ancak iğnedeki yemi soyduğuna dair yeterli veri yoktur.
lokum | E | ? | H | Sığ kumlu-çamurlu dipte solucan ve karidesle beslenen küçük tür olduğundan yemle uğraşıp iğneyi boş bırakabilir.
subye | H | ? | H | Eging ile hedeflenen ve yeme yapışan kafadanbacaklıdır; tipik yem hırsızı değildir.
iskorpit | H | ? | H | Kayalık dipte pusu kuran yırtıcıdır ve yemi alıp iğneye takılan hedef avdır.
barakuda | H | ? | H | Keskin dişli aktif avcıdır ve yemi koparsa bile iğneye takılan avdır, soyucu değildir.
cinekop | H | E | H | Lüferin 20 cm altındaki yavru evresidir; küçük bireyler iğneye takılır ancak yasal boyun altındadır.
cutre | H | ? | H | Sert çeneleriyle yemi koparabilecek olsa da güçlü çene yapısı nedeniyle iğneye takılabilen hedef balıktır.
dil_baligi | H | ? | H | Dipte kuma gömülerek avlanan ve boru kurduyla hedeflenen bir dip balığıdır.
