anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
deniz_ignesi | H | E | ? | Çok küçük kıyı türüdür ancak iğnedeki yemi düzenli soyduğunu veya yaygın yem olarak kullanıldığını not desteklemiyor.
aterin | E | E | E | Kıyıya yakın sürüleri yemi didikleyip boş iğne bırakabilir ve levrek ile lüfer için yaygın canlı yemdir.
zurna | H | H | E | Yüzey avcısı hedef balıktır ve notta lüfer ile kofana yemi olarak kullanıldığı açıkça belirtilmiştir.
kefal | H | H | H | 30 cm yasal boylu hedef kıyı balığıdır ve amatörde yem hırsızı değil doğrudan av sayılır.
levrek | H | H | H | Yemi alıp iğneye takılması beklenen değerli hedef türdür.
mirmir | H | H | H | Gece sığ kıyıya gelen hedef dip balığıdır ve 20 cm etik boyuyla ufak av değildir.
sarikulak | H | H | H | Kefal grubunda 30 cm yasal boylu hedef balıktır.
sarpa | E | H | H | Otobur olarak ekmek gibi yemleri sürekli gagalayıp küçük vuruşlarla yemi tüketebilir.
yilan_baligi | H | H | H | Büyük gece avcısıdır ve yemi aldığında hedef av olarak değerlendirilir.
eskina | H | H | H | Karanlıkta avlanan değerli hedef dip balığıdır.
lufer | H | H | H | Amatörün aradığı ana avcı türlerden biridir ve yem hırsızı sayılmaz.
minekop | H | H | H | 45 cm yasal boylu büyük hedef balığıdır.
zargana | H | H | E | Yüzeyde avlanan hedef balığıdır ancak Türkiye'de iri avcılar için yaygın yem olarak da kullanılır.
ahtapot | H | H | H | Yeme yapışarak tutulur ve boş iğne bırakan yem hırsızı değildir.
cipura | H | H | H | Yemi ezse de sonunda iğneye takılan klasik hedef avdır.
karagoz | H | H | H | Kayalık kıyıların değerli hedef sparididir ve ufak av sayılmaz.
kikla | E | H | H | Güçlü çenesiyle kabuklu ve yemleri didikleyebilir ancak tipik yem balığı değildir.
lambuga | H | H | H | Büyük pelajik hedef avcıdır ve 50 cm yasal boyuyla ufak değildir.
lapin | E | E | H | Küçük kayalık balığı olarak yemleri gagalayan tipik küçük iğne misafiridir.
lokum | E | E | H | 15 cm yasal boylu istilacı küçük dip balığı solucan ve karides yemine sürekli gelir.
subye | H | H | H | Kalamar benzeri kafadanbacaklıdır ve yeme sarılarak tutulur, boş iğne bırakmaz.
iskorpit | E | E | H | Küçük dipte bekleyip yemli iğneye sık gelen ve genellikle ufak kalan türdür.
barakuda | H | H | H | Keskin dişli iri avcı hedef balıktır ve yem hırsızı değildir.
cinekop | H | E | H | Lüferin yasak yavru evresi olduğundan tutulunca geri bırakılması gereken ufak avdır.
cutre | E | H | H | Sert çenesiyle yemi koparıp iğneyi zorlayabilen türdür ancak yaygın yem balığı değildir.
dil_baligi | H | H | H | Gece boru kurduna gelen hedef dip balığıdır ve 20 cm yasal boyu vardır.
ustura_baligi | E | E | H | Küçük ağızlı gündüz dip balığı yemleri gagalayıp sık küçük av olarak gelir.
gelincik | E | E | H | Kayalık aralarda yaşayan küçük gece balığı yemli iğneyi sık didikler.
isparoz | E | E | H | Sürü halinde ekmekle bol tutulan küçük sparid tipik ufak avdır.
